ID,NAME,ACCOUNT_NUMBER,TYPE,INDUSTRY,ANNUAL_REVENUE,NUMBER_OF_EMPLOYEES,RATING,PHONE,WEBSITE,BILLING_STREET,BILLING_CITY,BILLING_COUNTRY,BILLING_POSTAL_CODE,DESCRIPTION,CREATED_DATE,LAST_MODIFIED_DATE,CURRENCY_ISO_CODE
001215400344428713,Hamburg Digital,ACC-000001,Vendor,Healthcare,11364231,430,Cold,+64-132-1499914,www.hamburgdigital.com,96 Business Park,Rome,IT,46421,"Leading transportation company based in Rome, specializing in innovative solutions for the European market.",2024-12-21T07:21:05.728317,2025-06-24T07:21:05.728346,EUR
001721542235717608,Rennes Biotech,ACC-000002,Partner,Retail,3275376,3,Cold,+34-821-2166941,www.rennesbiotech.com,47 Business Park,Rotterdam,NL,6977 FL,"Leading aerospace company based in Rotterdam, specializing in innovative solutions for the global market.",2025-01-07T07:21:05.728414,2025-06-25T07:21:05.728421,EUR
001738588377270244,LondonCorp Dynamics,ACC-000003,Partner,Automotive,1349938334,25674,Cold,+73-505-8698256,www.londoncorpdynamics.com,147 Technology Way,Vienna,AT,88172,"Leading healthcare company based in Vienna, specializing in innovative solutions for the EMEA market.",2024-12-09T07:21:05.728484,2025-07-02T07:21:05.728491,EUR
001400419007481616,Monaco Wealth Tech,ACC-000004,Partner,Manufacturing,4604433,17,Warm,+65-261-8612220,www.monacowealthtech.com,4 Technology Way,Copenhagen,DK,3646,"Leading aerospace company based in Copenhagen, specializing in innovative solutions for the European market.",2025-02-19T07:21:05.728556,2025-06-23T07:21:05.728563,DKK
001635121398951436,Edinburgh Innovations,ACC-000005,Vendor,Telecommunications,10616205,425,Warm,+77-993-8099076,www.edinburghinnovations.com,988 Business Park,Geneva,CH,6539,"Leading healthcare company based in Geneva, specializing in innovative solutions for the global market.",2024-08-03T07:21:05.728622,2025-07-20T07:21:05.728628,CHF
001646528871719079,Royal Data Systems,ACC-000006,Prospect,Energy,20688292,491,Cold,+83-690-8930103,www.royaldatasystems.com,249 Innovation Drive,Paris,FR,56438,"Leading media company based in Paris, specializing in innovative solutions for the European market.",2025-01-31T07:21:05.728689,2025-07-07T07:21:05.728696,EUR
001948440408302313,Bavarian Analytics GmbH,ACC-000007,Prospect,Telecommunications,882344,29,Warm,+72-592-4586084,www.bavariananalyticsgmbh.com,886 Innovation Drive,Paris,FR,69638,"Leading financial services company based in Paris, specializing in innovative solutions for the European market.",2024-08-27T07:21:05.728757,2025-07-06T07:21:05.728763,EUR
001554610413572758,Lyon Technologies,ACC-000008,Customer,Aerospace,670097,4,Cold,+86-140-2375453,www.lyontechnologies.com,430 Commerce Plaza,Helsinki,FI,51441,"Leading automotive company based in Helsinki, specializing in innovative solutions for the global market.",2025-02-07T07:21:05.728823,2025-07-17T07:21:05.728829,EUR
001695534384135654,Manchester Tech Hub,ACC-000009,Customer,Banking,3221680963,15339,Cold,+23-999-3253031,www.manchestertechhub.com,271 High Street,Rotterdam,NL,4450 WK,"Leading insurance company based in Rotterdam, specializing in innovative solutions for the European market.",2024-07-31T07:21:05.728890,2025-07-13T07:21:05.728896,EUR
001878019938714288,Viking Technologies,ACC-000010,Prospect,Financial Services,1038466,29,Warm,+84-665-3484601,www.vikingtechnologies.com,441 Business Park,Hamburg,DE,56898,"Leading aerospace company based in Hamburg, specializing in innovative solutions for the EMEA market.",2025-04-02T07:21:05.728958,2025-06-26T07:21:05.728964,EUR
